Repositorio,Vector de Ataque,Vulnerabilidad,Severidad,Componente Afectado,Solución Propuesta,Descripción
Ghost,Código Fuente (SAST),js/polynomial-redos,Medium,apps/admin-x-design-system/src/global/form/currency-field.tsx,Requiere parche o revisión manual,"This [regular expression](1) that depends on [library input](2) may run slow on strings with many repetitions of '0'.
This [regular expression](1) that depends on [library input](3) may run slow on strings with many repetitions of '0'."
Ghost,Código Fuente (SAST),js/polynomial-redos,Medium,apps/admin-x-framework/src/utils/errors.ts,Requiere parche o revisión manual,"This [regular expression](1) that depends on [library input](2) may run slow on strings with many repetitions of 'a'.
This [regular expression](1) that depends on [library input](3) may run slow on strings with many repetitions of 'a'.
This [regular expression](1) that depends on [library input](4) may run slow on strings with many repetitions of 'a'.
This [regular expression](1) that depends on [library input](5) may run slow on strings with many repetitions of 'a'.
This [regular expression](1) that depends on [library input](6) may run slow on strings with many repetitions of 'a'.
This [regular expression](1) that depends on [library input](7) may run slow on strings with many repetitions of 'a'.
This [regular expression](1) that depends on [library input](8) may run slow on strings with many repetitions of 'a'.
This [regular expression](1) that depends on [library input](9) may run slow on strings with many repetitions of 'a'.
This [regular expression](1) that depends on [library input](10) may run slow on strings with many repetitions of 'a'.
This [regular expression](1) that depends on [library input](11) may run slow on strings with many repetitions of 'a'."
Ghost,Código Fuente (SAST),js/redos,Medium,ghost/core/test/utils/e2e-framework.js,Requiere parche o revisión manual,"This part of the regular expression may cause exponential backtracking on strings starting with '""' and containing many repetitions of ' '."
Ghost,Código Fuente (SAST),js/loop-bound-injection,Medium,ghost/core/core/server/services/members/members-api/repositories/member-repository.js,Requiere parche o revisión manual,"Iteration over a user-controlled object with a potentially unbounded .length property from a [user-provided value](1).
Iteration over a user-controlled object with a potentially unbounded .length property from a [user-provided value](2)."
Ghost,Código Fuente (SAST),js/loop-bound-injection,Medium,ghost/core/core/server/services/members/members-api/repositories/member-repository.js,Requiere parche o revisión manual,"Iteration over a user-controlled object with a potentially unbounded .length property from a [user-provided value](1).
Iteration over a user-controlled object with a potentially unbounded .length property from a [user-provided value](2)."
Ghost,Código Fuente (SAST),js/double-escaping,Medium,ghost/admin/app/helpers/gh-count-down-html-characters.js,Requiere parche o revisión manual,This replacement may produce '&' characters that are double-unescaped [here](1).
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,apps/admin-x-framework/src/hooks/use-filterable-api.ts,Requiere parche o revisión manual,This does not escape backslash characters in the input.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,apps/admin-x-settings/test/acceptance/site/design.test.ts,Requiere parche o revisión manual,This does not escape backslash characters in the input.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,apps/admin-x-settings/test/acceptance/site/design.test.ts,Requiere parche o revisión manual,This does not escape backslash characters in the input.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,apps/admin-x-settings/test/acceptance/site/design.test.ts,Requiere parche o revisión manual,This does not escape backslash characters in the input.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,apps/comments-ui/src/utils/helpers.ts,Requiere parche o revisión manual,This replaces only the first occurrence of '\n'.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,e2e/helpers/environment/service-managers/mysql-manager.ts,Requiere parche o revisión manual,This does not escape backslash characters in the input.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,e2e/helpers/environment/service-managers/mysql-manager.ts,Requiere parche o revisión manual,This does not escape backslash characters in the input.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,ghost/admin/app/components/gh-resource-select.js,Requiere parche o revisión manual,This replaces only the first occurrence of '\''.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,ghost/admin/app/components/gh-resource-select.js,Requiere parche o revisión manual,This replaces only the first occurrence of '\''.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,ghost/admin/app/components/gh-resource-select.js,Requiere parche o revisión manual,This replaces only the first occurrence of '\''.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,ghost/admin/app/services/labels-manager.js,Requiere parche o revisión manual,This does not escape backslash characters in the input.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,ghost/admin/app/services/tags-manager.js,Requiere parche o revisión manual,This does not escape backslash characters in the input.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,ghost/core/core/frontend/helpers/plural.js,Requiere parche o revisión manual,This replaces only the first occurrence of '%'.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,ghost/core/core/frontend/helpers/plural.js,Requiere parche o revisión manual,This replaces only the first occurrence of '%'.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,ghost/core/core/frontend/helpers/plural.js,Requiere parche o revisión manual,This replaces only the first occurrence of '%'.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,ghost/core/core/frontend/meta/title.js,Requiere parche o revisión manual,This replaces only the first occurrence of '%'.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,ghost/core/core/server/services/email-address/email-address-parser.js,Requiere parche o revisión manual,This does not escape backslash characters in the input.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,ghost/core/core/server/services/email-service/email-renderer.js,Requiere parche o revisión manual,This does not escape backslash characters in the input.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,ghost/core/core/server/services/members/members-api/controllers/router-controller.js,Requiere parche o revisión manual,This does not escape backslash characters in the input.
Ghost,Código Fuente (SAST),js/incomplete-sanitization,Medium,ghost/core/test/unit/server/services/members/members-api/controllers/router-controller.test.js,Requiere parche o revisión manual,This does not escape backslash characters in the input.
Ghost,Código Fuente (SAST),js/incomplete-multi-character-sanitization,Medium,apps/activitypub/src/utils/content-formatters.ts,Requiere parche o revisión manual,"This string may still contain [<script](1), which may cause an HTML element injection vulnerability."
Ghost,Código Fuente (SAST),js/incomplete-multi-character-sanitization,Medium,apps/activitypub/src/utils/content-formatters.ts,Requiere parche o revisión manual,"This string may still contain [<script](1), which may cause an HTML element injection vulnerability."
Ghost,Código Fuente (SAST),js/incomplete-multi-character-sanitization,Medium,apps/activitypub/src/utils/get-reading-time.ts,Requiere parche o revisión manual,"This string may still contain [<script](1), which may cause an HTML element injection vulnerability."
Ghost,Código Fuente (SAST),js/incomplete-multi-character-sanitization,Medium,apps/activitypub/test/acceptance/feed.test.ts,Requiere parche o revisión manual,"This string may still contain [<script](1), which may cause an HTML element injection vulnerability."
Ghost,Código Fuente (SAST),js/incomplete-multi-character-sanitization,Medium,apps/activitypub/test/acceptance/inbox.test.ts,Requiere parche o revisión manual,"This string may still contain [<script](1), which may cause an HTML element injection vulnerability."
Ghost,Código Fuente (SAST),js/incomplete-multi-character-sanitization,Medium,apps/activitypub/test/acceptance/my-profile.test.ts,Requiere parche o revisión manual,"This string may still contain [<script](1), which may cause an HTML element injection vulnerability."
Ghost,Código Fuente (SAST),js/incomplete-multi-character-sanitization,Medium,apps/comments-ui/test/utils/mocked-api.ts,Requiere parche o revisión manual,"This string may still contain [<script](1), which may cause an HTML element injection vulnerability."
Ghost,Código Fuente (SAST),js/incomplete-multi-character-sanitization,Medium,ghost/admin/app/helpers/gh-count-down-html-characters.js,Requiere parche o revisión manual,"This string may still contain [<script](1), which may cause an HTML element injection vulnerability."
Ghost,Código Fuente (SAST),js/incomplete-multi-character-sanitization,Medium,ghost/core/core/server/services/koenig/render-utils/slugify.ts,Requiere parche o revisión manual,"This string may still contain [<script](1), which may cause an HTML element injection vulnerability."
Ghost,Código Fuente (SAST),js/incomplete-multi-character-sanitization,Medium,ghost/core/core/server/services/slack.js,Requiere parche o revisión manual,"This string may still contain [<script](1), which may cause an HTML element injection vulnerability."
Ghost,Código Fuente (SAST),js/bad-tag-filter,Medium,apps/admin/vite-ember-assets.ts,Requiere parche o revisión manual,This regular expression does not match script end tags like </script >.
Ghost,Código Fuente (SAST),js/insufficient-password-hash,Medium,ghost/core/core/frontend/apps/private-blogging/lib/middleware.js,Requiere parche o revisión manual,Password from [a call to get](1) is hashed insecurely.
Ghost,Código Fuente (SAST),js/shell-command-injection-from-environment,Medium,scripts/release.js,Requiere parche o revisión manual,"This shell command depends on an uncontrolled [absolute path](1).
This shell command depends on an uncontrolled [absolute path](2)."
Ghost,Código Fuente (SAST),js/path-injection,Medium,ghost/core/core/frontend/services/rendering/renderer.js,Requiere parche o revisión manual,This path depends on a [user-provided value](1).
Ghost,Código Fuente (SAST),js/path-injection,Medium,ghost/core/core/server/web/api/middleware/upload.js,Requiere parche o revisión manual,"This path depends on a [user-provided value](1).
This path depends on a [user-provided value](2)."
Ghost,Código Fuente (SAST),js/path-injection,Medium,ghost/core/core/server/web/api/middleware/upload.js,Requiere parche o revisión manual,"This path depends on a [user-provided value](1).
This path depends on a [user-provided value](2)."
Ghost,Código Fuente (SAST),js/path-injection,Medium,ghost/core/core/server/web/api/middleware/upload.js,Requiere parche o revisión manual,"This path depends on a [user-provided value](1).
This path depends on a [user-provided value](2)."
Ghost,Código Fuente (SAST),js/path-injection,Medium,ghost/core/core/server/web/api/middleware/upload.js,Requiere parche o revisión manual,"This path depends on a [user-provided value](1).
This path depends on a [user-provided value](2)."
Ghost,Código Fuente (SAST),js/path-injection,Medium,ghost/core/core/server/web/api/middleware/upload.js,Requiere parche o revisión manual,"This path depends on a [user-provided value](1).
This path depends on a [user-provided value](2)."
Ghost,Código Fuente (SAST),js/xss-through-dom,Medium,apps/activitypub/src/components/modals/new-note-modal.tsx,Requiere parche o revisión manual,[DOM text](1) is reinterpreted as HTML without escaping meta-characters.
Ghost,Código Fuente (SAST),js/xss-through-dom,Medium,apps/activitypub/src/views/preferences/components/edit-profile.tsx,Requiere parche o revisión manual,[DOM text](1) is reinterpreted as HTML without escaping meta-characters.
Ghost,Código Fuente (SAST),js/xss-through-dom,Medium,apps/activitypub/src/views/preferences/components/edit-profile.tsx,Requiere parche o revisión manual,[DOM text](1) is reinterpreted as HTML without escaping meta-characters.
Ghost,Código Fuente (SAST),js/xss-through-dom,Medium,ghost/core/core/server/services/koenig/node-renderers/transistor-renderer.js,Requiere parche o revisión manual,[DOM text](1) is reinterpreted as HTML without escaping meta-characters.
Ghost,Código Fuente (SAST),js/xss-through-dom,Medium,ghost/core/core/server/services/koenig/node-renderers/transistor-renderer.js,Requiere parche o revisión manual,[DOM text](1) is reinterpreted as HTML without escaping meta-characters.
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/app.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/apps/private-blogging/lib/router.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/apps/private-blogging/lib/router.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/web/routers/serve-favicon.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/web/routers/serve-public-file.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/web/routers/serve-public-file.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/web/routers/serve-public-file.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/web/routers/serve-public-file.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/web/routers/serve-public-file.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/web/routers/serve-public-file.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/web/routers/serve-public-file.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/web/routers/serve-public-file.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/web/routers/serve-public-file.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/web/routers/serve-public-file.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/web/routers/serve-public-file.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/frontend/web/routers/serve-public-file.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/services/members/members-api/members-api.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/admin/app.js,Requiere parche o revisión manual,"This route handler performs [a file system access](1), but is not rate-limited.
This route handler performs [a file system access](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
Ghost,Código Fuente (SAST),js/missing-rate-limiting,Medium,ghost/core/core/server/web/api/endpoints/admin/routes.js,Requiere parche o revisión manual,"This route handler performs [authorization](1), but is not rate-limited.
This route handler performs [authorization](2), but is not rate-limited."
